concept_index,entity_id,raw_concept_id,name,definition_source,route
234,kc234,234,多量和倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----多量和倍问题
235,kc235,235,几何方法整体减空白,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----几何方法整体减空白
236,kc236,236,幻方数字关系,llm:deepseek-chat,拓展思维----组合模块----幻方----幻方数字关系
237,kc237,237,组合模块,llm:deepseek-chat,拓展思维----组合模块
238,kc238,238,多笔画运用,llm:deepseek-chat,拓展思维----组合模块----图论问题----多笔画----多笔画运用
239,kc239,239,变型题,llm:deepseek-chat,拓展思维----应用题模块----鸡兔同笼问题----假设法解鸡兔同笼----基本型----变型题
240,kc240,240,用假设法解决倒扣型鸡兔同笼,llm:deepseek-chat,课内题型----综合与实践----应用题----鸡兔同笼问题----用假设法解决倒扣型鸡兔同笼
241,kc241,241,用假设法解决变形鸡兔同笼,llm:deepseek-chat,课内题型----综合与实践----应用题----鸡兔同笼问题----用假设法解决变形鸡兔同笼
242,kc242,242,小数的认识,llm:deepseek-chat,拓展思维----计算模块----小数---- 小数基础----小数的认识
243,kc243,243,加法竖式,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加法运算----加法竖式
244,kc244,244,减法竖式,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数减法运算----减法竖式
245,kc245,245,数、数位、数字的认识,llm:deepseek-chat,拓展思维----数论模块----位值原理与进制----数与数字----数、数位、数字的认识
246,kc246,246,角的判断,route_repair:missing_definition,知识点----图形的认识----角----角的基础知识----角的判断
247,kc247,247,利用特殊角的求角度,llm:deepseek-chat,课内题型----空间与图形----图形基础知识----角的认识----利用特殊角的求角度
248,kc248,248,年龄和,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题基本关系----年龄和
249,kc249,249,年龄差,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题基本关系----年龄差
250,kc250,250,代数式,llm:deepseek-chat,课内知识点----式与方程----等式字母与数----代数式
251,kc251,251,字母表示数,llm:deepseek-chat,拓展思维----计算模块----方程基础----等量代换----字母表示数
252,kc252,252,用字母表示数量关系(a+bx),llm:deepseek-chat,知识点----式与方程----等式字母与数----字母表示数----用字母表示数量关系(a+bx)
253,kc253,253,用字母表示数量关系（ax＋bx）,llm:deepseek-chat,知识点----式与方程----等式字母与数----字母表示数----用字母表示数量关系（ax＋bx）
254,kc254,254,盈盈问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----盈盈问题
255,kc255,255,整数拆分应用,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----整数拆分应用
256,kc256,256,有序枚举,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----枚举法----有序枚举
257,kc257,257,数形结合的实际应用,route_repair:missing_definition,拓展思维----组合模块----数学思想----数形结合----数形结合的实际应用
258,kc258,258,三角形面积,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知三角形----三角形面积
259,kc259,259,公式法求三角形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----三角形----公式法求三角形面积
260,kc260,260,带余除法,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数除法运算----带余除法
261,kc261,261,周长定义,llm:deepseek-chat,课内知识点----测量----周长----周长定义
262,kc262,262,已知边长求周长,llm:deepseek-chat,课内知识点----测量----周长----组合图形周长----已知边长求周长
263,kc263,263,有特殊要求的组数问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----组数问题----有特殊要求的组数问题
264,kc264,264,找日历中的周期规律,llm:deepseek-chat,课内知识点----常见的量----年、月、日----找日历中的周期规律
265,kc265,265,区分闰年和平年,llm:deepseek-chat,课内知识点----常见的量----年、月、日----区分闰年和平年
266,kc266,266,和差倍问题,llm:deepseek-chat,知识点----应用题模块----和差倍问题
267,kc267,267,多量差倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----多量差倍
268,kc268,268,暗倍型二量差倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----暗倍型二量差倍问题
269,kc269,269,求某日期是周几问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----时间中的周期问题----求某日期是周几问题
270,kc270,270,绘制统计表,llm:deepseek-chat,拓展思维----计数模块----统计与概率----统计图表----绘制统计表
271,kc271,271,公式求长方形面积,llm:deepseek-chat,课内知识点----测量----面积----长方形面积----公式求长方形面积
272,kc272,272,多笔画变一笔画,llm:deepseek-chat,拓展思维----组合模块----图论问题----多笔画----多笔画变一笔画
273,kc273,273,总价=单价×数量,llm:deepseek-chat,课内知识点----式与方程----数量关系----总价=单价×数量
274,kc274,274,复式统计表,llm:deepseek-chat,课内知识点----数据收集和整理----数据整理----复式统计表
275,kc275,275,加减法应用,llm:deepseek-chat,拓展思维----应用题模块----加减法应用
276,kc276,276,因数与倍数基础,llm:deepseek-chat,拓展思维----数论模块----因数与倍数----因数与倍数基础
277,kc277,277,给运算方法和结果，求开始,llm:deepseek-chat,课内题型----综合与实践----应用题----还原问题----给运算方法和结果，求开始
278,kc278,278,利用特殊角求角度,llm:deepseek-chat,知识点----测量----角的度数----根据所给条件计算目标角的角度----利用特殊角求角度
279,kc279,279,三角形,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----三角形
280,kc280,280,年龄轴,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题之当当型----年龄轴
281,kc281,281,数列规律,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----找规律----数列规律
282,kc282,282,元、角、分单位换算,llm:deepseek-chat,知识点----常见的量----元、角、分----元、角、分单位换算
283,kc283,283,分类图形,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----分类图形
284,kc284,284,盈亏基本类型,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型
285,kc285,285,整数加减巧算之分组法,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之分组法
286,kc286,286,整数基准数法,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----整数基准数法
287,kc287,287,两边都填符号型,llm:deepseek-chat,拓展思维----组合模块----数字谜----巧填算符----两边都填符号型
288,kc288,288,整数减法性质,route_repair:missing_definition,知识点----数的运算----运算律----整数加法运算律----整数减法性质
289,kc289,289,正方形周长公式,llm:deepseek-chat,课内知识点----测量----周长----正方形周长----正方形周长公式
290,kc290,290,找暗和,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----找暗和
291,kc291,291,两位数减整十数的口算,route_repair:missing_definition,知识点----数的运算----整数的加减法----100以内数的加减法----两位数减整十数的口算
292,kc292,292,组合数,llm:deepseek-chat,知识点----数学广角----排列组合----组合数
293,kc293,293,枚举所有可能的路线,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----枚举法----枚举所有可能的路线
294,kc294,294,图形认知,llm:deepseek-chat,能力----图形认知
295,kc295,295,多数的最大公因数,llm:deepseek-chat,拓展思维----数论模块----因数与倍数----公因数与公倍数----公因数与最大公因数----多数的最大公因数
296,kc296,296,整体思想求面积,route_repair:missing_definition,拓展思维----几何模块----直线型----图形认知----不规则四边形----整体思想求面积
297,kc297,297,整数提取公因数,llm:deepseek-chat,拓展思维----计算模块----整数----整数提取公因数
298,kc298,298,应用题模块,llm:deepseek-chat,拓展思维----应用题模块
299,kc299,299,对象转化为物品,route_repair:missing_definition,拓展思维----应用题模块----盈亏问题----盈亏转化题型----对象转化为物品
300,kc300,300,综合型转化,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏转化题型----综合型转化
301,kc301,301,2的倍数特征,route_repair:missing_definition,课内知识点----数的认识----数的特征----倍数----2的倍数特征
302,kc302,302,倍数的认识,route_repair:missing_definition,课内知识点----数的认识----数的特征----倍数----倍数的认识
303,kc303,303,3的倍数特征,llm:deepseek-chat,课内知识点----数的认识----数的特征----倍数----3的倍数特征
304,kc304,304,整除特征综合,route_repair:missing_definition,拓展思维----数论模块----整除----整除特征----整除特征综合
305,kc305,305,5的倍数特征,route_repair:missing_definition,课内知识点----数的认识----数的特征----倍数----5的倍数特征
306,kc306,306,复合型不规则图形求周长,route_repair:missing_definition,拓展思维----几何模块----直线型----图形认知----不规则四边形----复合型不规则图形求周长
307,kc307,307,方程法解盈亏问题,route_repair:missing_definition,拓展思维----应用题模块----列方程解应用题----一元一次方程解应用题----方程法解盈亏问题
308,kc308,308,倒扣型,route_repair:missing_definition,拓展思维----应用题模块----鸡兔同笼问题----假设法解鸡兔同笼----倒扣型
309,kc309,309,四边形的认识,route_repair:missing_definition,拓展思维----几何模块----直线型----图形认知----四边形的认识
310,kc310,310,数列与数表,llm:deepseek-chat,拓展思维----计算模块----数列与数表
311,kc311,311,数回,route_repair:missing_definition,拓展思维----组合模块----数学游戏----数回
312,kc312,312,三角形的认识,route_repair:missing_definition,拓展思维----几何模块----直线型----图形认知----图形认知三角形----三角形的认识
313,kc313,313,封闭路线植树问题,route_repair:missing_definition,知识点----应用题----植树应用题----封闭路线植树问题
314,kc314,314,路线遍历,route_repair:missing_definition,拓展思维----组合模块----图论问题----路线遍历
315,kc315,315,运算律,route_repair:missing_definition,课内知识点----数与运算----运算律
316,kc316,316,小数的性质,route_repair:missing_definition,知识点----数的认识----认、读、写数----小数----小数的意义----小数的性质
317,kc317,317,小数读写规则,route_repair:missing_definition,课内知识点----数的认识----认、读、写数----小数----小数的意义----小数读写规则
318,kc318,318,小数的计数单位,route_repair:missing_definition,知识点----数的认识----认、读、写数----小数----小数的意义----小数的计数单位
319,kc319,319,多笔画,route_repair:missing_definition,拓展思维----组合模块----图论问题----多笔画
320,kc320,320,火柴棒摆数,llm:deepseek-chat,拓展思维----组合模块----智巧趣题----数学趣题----火柴棒问题----火柴棒摆数
321,kc321,321,简单乘法巧算,route_repair:missing_definition,课内知识点----数与运算----乘法----整数乘法----简单乘法巧算
322,kc322,322,直接运用分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数乘法巧算之分配律----直接运用分配律
323,kc323,323,明和暗差,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和差问题----二量和差问题----明和暗差
324,kc324,324,一般组数问题,llm:deepseek-chat,知识点----计数模块----加乘原理----组数问题----一般组数问题
325,kc325,325,数字组数（规定数位大小）,route_repair:missing_definition,拓展思维----计数模块----枚举法综合----字典排序法----组数----数字组数（规定数位大小）
326,kc326,326,优限法,route_repair:missing_definition,知识点----计数模块----排列组合----排列----优限法
327,kc327,327,分割与剪拼,route_repair:missing_definition,拓展思维----几何模块----直线型----几何思想与方法----分割与剪拼
328,kc328,328,楼梯型不规则图形求周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则四边形----楼梯型不规则图形求周长
329,kc329,329,多量还原问题,llm:deepseek-chat,拓展思维----应用题模块----还原问题----多量还原问题
330,kc330,330,小马虎题型,route_repair:missing_definition,拓展思维----应用题模块----还原问题----小马虎题型
331,kc331,331,两次分配对象不同,route_repair:missing_definition,拓展思维----应用题模块----盈亏问题----盈亏转化题型----两次分配对象不同
332,kc332,332,三量容斥,llm:deepseek-chat,拓展思维----计数模块----容斥原理----三量容斥
333,kc333,333,容斥原理,llm:deepseek-chat,拓展思维----计数模块----容斥原理
334,kc334,334,数据处理,route_repair:missing_definition,能力----数据处理
335,kc335,335,和的奇偶性,route_repair:missing_definition,知识点----数的认识----数的特征----奇数和偶数----和的奇偶性
336,kc336,336,公式法求梯形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法求梯形面积
337,kc337,337,梯形面积公式应用,route_repair:missing_definition,知识点----测量----面积----梯形面积公式----梯形面积公式应用
338,kc338,338,直接运用公式求数量,route_repair:missing_definition,知识点----应用题----总价应用题----直接运用公式求数量
339,kc339,339,统计图表,route_repair:missing_definition,拓展思维----计数模块----统计与概率----统计图表
340,kc340,340,各点等价,route_repair:missing_definition,拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点等价
341,kc341,341,三角形三边关系（两边之和大于第三边）,route_repair:missing_definition,课内知识点----图形的认识----三角形----三角形基本问题----三角形三边关系（两边之和大于第三边）
342,kc342,342,等腰三角形,route_repair:missing_definition,课内知识点----图形的认识----三角形----三角形的分类----等腰三角形
343,kc343,343,多边形内角和,route_repair:missing_definition,拓展思维----几何模块----直线型----图形认知----图形认知角----多边形内角和
344,kc344,344,整数除法运算,route_repair:missing_definition,拓展思维----计算模块----整数----整数乘除----整数除法运算
345,kc345,345,几何模块,llm:deepseek-chat,拓展思维----几何模块
346,kc346,346,图文减法竖式数字谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----图文减法竖式数字谜
347,kc347,347,除法的意义,route_repair:missing_definition,课内知识点----数与运算----除法----除法的意义
348,kc348,348,认识单位1,route_repair:missing_definition,拓展思维----应用题模块----分百应用题----认识单位1
349,kc349,349,四宫杀手数独,route_repair:missing_definition,拓展思维----组合模块----数学游戏----数独----杀手数独----四宫杀手数独
350,kc350,350,平行四边形面积公式应用,route_repair:missing_definition,知识点----测量----面积----平行四边形面积----平行四边形面积公式----平行四边形面积公式应用
351,kc351,351,方程法解其他问题,route_repair:missing_definition,拓展思维----应用题模块----列方程解应用题----一元一次方程解应用题----方程法解其他问题
352,kc352,352,倍数应用题,route_repair:missing_definition,拓展思维----数论模块----因数与倍数----公因数与公倍数----因倍应用题----倍数应用题
353,kc353,353,两端植树类型问题(段数小于等于10),llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都有----两端植树问题----两端植树类型问题(段数小于等于10)
354,kc354,354,角度直接运算,route_repair:missing_definition,课内题型----空间与图形----图形基础知识----角的认识----角度直接运算
355,kc355,355,表外除法计算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数除法运算----表外除法计算
356,kc356,356,假设法判断真假,route_repair:missing_definition,课内题型----综合与实践----智巧趣题----逻辑推理----假设法判断真假
357,kc357,357,三角形计数,route_repair:missing_definition,拓展思维----计数模块----几何计数----对应法数图形----乘法计数----三角形计数
358,kc358,358,数字个数,route_repair:missing_definition,拓展思维----应用题模块----页码问题----数字与页码的对应问题----数字个数
359,kc359,359,平行四边形面积,route_repair:missing_definition,知识点----测量----面积----平行四边形面积
360,kc360,360,梯形面积公式,llm:deepseek-chat,知识点----测量----面积----梯形面积公式
361,kc361,361,梯形的面积公式,route_repair:missing_definition,拓展思维----几何模块----直线型----图形认知----图形认知梯形----梯形的面积公式
362,kc362,362,图形剪拼,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----分割与剪拼----图形剪拼
363,kc363,363,多量容斥的几何计数,route_repair:missing_definition,拓展思维----计数模块----容斥原理----多量容斥的几何计数
364,kc364,364,逻辑分析,llm:deepseek-chat,七大能力----逻辑分析
365,kc365,365,其它图形分割,route_repair:missing_definition,拓展思维----几何模块----直线型----几何思想与方法----分割与剪拼----其它图形分割
366,kc366,366,半真半假,llm:deepseek-chat,知识点----组合模块----逻辑推理----假设型逻辑推理----真假话----半真半假
367,kc367,367,真假话,route_repair:missing_definition,拓展思维----组合模块----逻辑推理----假设型逻辑推理----真假话
368,kc368,368,表格法,llm:deepseek-chat,知识点----组合模块----逻辑推理----条件型逻辑推理----表格法
369,kc369,369,添线法计数,route_repair:missing_definition,拓展思维----计数模块----几何计数----添线、删线法----添线法计数
370,kc370,370,两端都不植树类型问题(段数大于10),route_repair:missing_definition,拓展思维----应用题模块----间隔问题----直线型两端都没有----两端不植树问题----两端都不植树类型问题(段数大于10)
371,kc371,371,一端植树类型问题(段数大于10),route_repair:missing_definition,拓展思维----应用题模块----间隔问题----直线型一端有一端没有----一端植树问题----一端植树类型问题(段数大于10)
372,kc372,372,两端都不种树问题,llm:deepseek-chat,课内题型----综合与实践----应用题----植树问题----两端都不种树问题
373,kc373,373,封闭植树类型问题(段数大于10),llm:deepseek-chat,拓展思维----应用题模块----间隔问题----封闭型----封闭型植树问题----封闭植树类型问题(段数大于10)
374,kc374,374,敲钟问题,llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都有----敲钟问题
375,kc375,375,一端种树问题,llm:deepseek-chat,知识点----应用题----植树应用题----一端种树问题
376,kc376,376,等差数列长方形数表之已知数求位置,route_repair:missing_definition,拓展思维----计算模块----数列与数表----数表规律----长方形数表----等差数列长方形数表之已知数求位置
377,kc377,377,等差数列长方形数表之已知位置求数,route_repair:missing_definition,拓展思维----计算模块----数列与数表----数表规律----长方形数表----等差数列长方形数表之已知位置求数
378,kc378,378,位置关系,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数表规律----长方形数表----位置关系
379,kc379,379,路程=速度×时间,llm:deepseek-chat,课内知识点----式与方程----数量关系----路程=速度×时间
380,kc380,380,口算乘法：整百数乘一位数,route_repair:missing_definition,知识点----数的运算----整数乘法----多位数乘一位数----口算乘法：整百数乘一位数
381,kc381,381,程序性计算,route_repair:missing_definition,能力----运算求解----程序性计算
382,kc382,382,计算模块,llm:deepseek-chat,拓展思维----计算模块
383,kc383,383,利用奇偶规律构算式,route_repair:missing_definition,拓展思维----数论模块----奇数与偶数----利用奇偶规律构算式
384,kc384,384,直线和交点,llm:deepseek-chat,拓展思维----组合模块----智巧趣题----点线排布----直线和交点
